Station Code / Callsign,Station Name / Unit-Type,Address,Comment,Coordinates
B2,Hayes Ambulance Station,"1 Church Grn, Hayes UB3 2LY, United Kingdom",,"51.517247459324665, -0.4192307335943036"
B201,DCA,,Mercedes Sprinter,
B250,FRU,,Volkswagen Tiguan,
B251,FRU,,Volkswagen Tiguan,
,,,,
B3,Hanwell Ambulance Station,"85 Boston Rd, London W7 3SA, United Kingdom",Group station,"51.50563386336859, -0.3356390105262902"
B301,DCA,,Mercedes Sprinter,
B302,DCA,,Mercedes Sprinter,
B303,DCA,,Mercedes Sprinter,
B304,DCA,,Mercedes Sprinter,
B305,DCA,,Mercedes Sprinter,
B306,DCA,,Mercedes Sprinter,
B307,DCA,,Mercedes Sprinter,
B308,DCA,,Mercedes Sprinter,
B309,DCA,,Mercedes Sprinter,
B310,DCA,,Mercedes Sprinter,
B311,DCA,,Mercedes Sprinter,
B312,DCA,,Mercedes Sprinter,
B313,DCA,,Mercedes Sprinter,
B314,DCA,,Mercedes Sprinter,
B315,DCA,,Mercedes Sprinter,
B350,FRU,,Volkswagen Tiguan,
B351,FRU,,Volkswagen Tiguan,
B352,FRU,,Volkswagen Tiguan,
B353,FRU,,Volkswagen Tiguan,
B354,FRU,,Skoda Octavia,
,,,,
B5,Hillingdon Ambulance Station,"40 Royal Ln, Uxbridge UB8 3QX, United Kingdom",Group station,"51.524709268325765, -0.4645083262646266"
B599,CTM,,Volvo XC90,
B501,DCA,,Mercedes Sprinter,
B502,DCA,,Mercedes Sprinter,
B503,DCA,,Mercedes Sprinter,
B504,DCA,,Mercedes Sprinter,
B505,DCA,,Mercedes Sprinter,
B506,DCA,,Mercedes Sprinter,
B507,DCA,,Mercedes Sprinter,
B508,DCA,,Mercedes Sprinter,
B509,DCA,,Mercedes Sprinter,
B510,DCA,,Mercedes Sprinter,
B550,FRU,,Volkswagen Tiguan,
B551,FRU,,Volkswagen Tiguan,
B552,FRU,,Volkswagen Tiguan,
B553,FRU,,Volkswagen Tiguan,
B554,FRU,,Volkswagen Tiguan,
B555,FRU,,Skoda Octavia,
,,,,
B6,Pinner Ambulance Station,"167 Imperial Dr, Rayners Lane, Harrow HA2 7HD, United Kingdom",,"51.57742841505444, -0.3682278612970589"
B601,DCA,,Mercedes Sprinter,
B602,DCA,,Mercedes Sprinter,
B603,DCA,,Mercedes Sprinter,
B604,DCA,,Mercedes Sprinter,
B650,FRU,,Volkswagen Tiguan,
B651,FRU,,Skoda Octavia,
B652,FRU,,Volkswagen Tiguan,
B653,FRU,,Volkswagen Tiguan,
IR11,IRO,,Mercedes Vito,
,,,,
C1,Kenton Ambulance Station,"52 The Mall, Harrow HA3 9TB, United Kingdom",North West Sector HQ / Training station,"51.5840665331688, -0.28325667633326257"
C101,DCA,,Mercedes Sprinter,
C102,DCA,,Mercedes Sprinter,
C103,DCA,,Mercedes Sprinter,
C104,DCA,,Mercedes Sprinter,
C150,FRI,,Volkswagen Tiguan,
C151,FRI,,Volkswagen Tiguan,
C152,FRI,,Skoda Octavia,
,,,,
C2,Chiswick Ambulance Station,"368 Goldhawk Rd, Chiswick, London W6 0XF, United Kingdom",,"51.49631044435946, -0.2445743360644171"
C201,DCA,,Mercedes Sprinter,
C202,DCA,,Mercedes Sprinter,
C203,DCA,,Mercedes Sprinter,
C204,DCA,,Mercedes Sprinter,
C250,FRU,,Volkswagen Tiguan,
C251,FRU,,Skoda Octavia,
,,,,
C3,Brent Ambulance Station,"Unit 2-3, Falcon Park Industrial Estate, Neasden Ln, Neasden, London NW10 1RZ, United Kingdom",Group station,"51.55502248225912, -0.2493051057471839"
AP60,APP,,Volvo XC90,
UP60,APP,,Volvo XC90,
C399,CTM,,Volvo XC90,
C301,DCA,,Mercedes Sprinter,
C302,DCA,,Mercedes Sprinter,
C303,DCA,,Mercedes Sprinter,
C304,DCA,,Mercedes Sprinter,
C305,DCA,,Mercedes Sprinter,
C306,DCA,,Mercedes Sprinter,
C307,DCA,,Mercedes Sprinter,
C308,DCA,,Mercedes Sprinter,
C309,DCA,,Mercedes Sprinter,
C310,DCA,,Mercedes Sprinter,
C350,FRU,,Volkswagen Tiguan,
C351,FRU,,Volkswagen Tiguan,
C352,FRU,,Volkswagen Tiguan,
C353,FRU,,Volkswagen Tiguan,
C354,FRU,,Volkswagen Tiguan,
C355,FRU,,Skoda Octavia,
YM32,MCEV,,Iveco Daily,
,,,,
C4,North Kensington Ambulance Station,"20 Malton Rd, London W10 6JE, United Kingdom",,"51.516925054915475, -0.21351481936510788"
C499,CTM,,Volvo XC90,
C401,DCA,,Mercedes Sprinter,
C402,DCA,,Mercedes Sprinter,
C450,FRU,,Volvo XC90,
,,,,
E2,St. Johns Wood Ambulance Station,"7 Lyons Pl, London NW8 8NL, United Kingdom",,"51.52444031182003, -0.1756260723059989"
E299,CTM,,Volvo XC90,
E201,DCA,,Mercedes Sprinter,
E202,DCA,,Mercedes Sprinter,
E203,DCA,,Mercedes Sprinter,
E204,DCA,,Mercedes Sprinter,
E250,FRU,,Volkswagen Tiguan,
E251,FRU,,Volkswagen Tiguan,
E252,FRU,,Volkswagen Tiguan,
E253,FRU,,Skoda Octavia,
,,,,
F1,Westminster Ambulance Station,"53 Causton St, London SW1V, United Kingdom",Group station,"51.491296660316024, -0.13133537842629261"
AP62,APP,,Volvo XC90,
F199,CTM,,Volvo XC90,
F101,DCA,,Mercedes Sprinter,
F102,DCA,,Mercedes Sprinter,
F103,DCA,,Mercedes Sprinter,
F104,DCA,,Mercedes Sprinter,
F105,DCA,,Mercedes Sprinter,
F106,DCA,,Mercedes Sprinter,
F107,DCA,,Mercedes Sprinter,
F108,DCA,,Mercedes Sprinter,
F109,DCA,,Mercedes Sprinter,
F110,DCA,,Mercedes Sprinter,
F111,DCA,,Mercedes Sprinter,
F112,DCA,,Mercedes Sprinter,
F113,DCA,,Mercedes Sprinter,
F150,FRU,,Volkswagen Tiguan,
F151,FRU,,BMW X5,
IR81,IRO,,Mercedes Vito,
,,,,
F2,Fulham Ambulance Station,"150 Seagrave Rd, London SW6 1RX, United Kingdom",Training station / Group station,"51.48432500978401, -0.19435885953645946"
AP65,APP,,Volvo XC90,
UP65,APP,,Volvo XC90,
F299,CTM,,Volvo XC90,
F201,DCA,,Mercedes Sprinter,
F202,DCA,,Mercedes Sprinter,
F203,DCA,,Mercedes Sprinter,
F204,DCA,,Mercedes Sprinter,
F205,DCA,,Mercedes Sprinter,
F206,DCA,,Mercedes Sprinter,
F207,DCA,,Mercedes Sprinter,
F208,DCA,,Mercedes Sprinter,
F209,DCA,,Mercedes Sprinter,
F210,DCA,,Mercedes Sprinter,
F211,DCA,,Mercedes Sprinter,
F212,DCA,,Mercedes Sprinter,
F250,FRU,,Volkswagen Tiguan,
F251,FRU,,Volkswagen Tiguan,
F252,FRU,,Skoda Octavia,
,,,,
H.A.R.T.,,,,
Y1,HART Cody,"2 South Cres, London E16 4TL, United Kingdom",,"51.521115087469965, -0.0007329014399668333"
Y101,DCA,,Ford Transit,
Y102,DCA,,Ford Transit,
Y131,SRV,,Mercedes Sprinter,
Y132,SRV,,Mercedes Sprinter,
Y133,SRV,,Mercedes Sprinter,
Y135,ATV Carrier,,Iveco Daily,
Y137,DCA,,MAN TGE,
Y151,PRV,,Volkswagen Transporter,
Y151,PRV,,Volkswagen Transporter,
Y151,PRV,,Volkswagen Transporter,
Y154,FRU,,Volkswagen Tiguan,
Y155,FRU,,Volkswagen Tiguan,
Y171,HPC,,Mercedes Sprinter,
Y172,HPC,,Mercedes Sprinter,
Y173,IWU,,Incident Welfare Unit - Mercedes Sprinter,
Y196,CTM,,Volvo XC90,
Y197,HOO,,Land Rover Freelander,
Y631,CBRN,,Mitsubishi Canter,
Y633,CBRN,,Mitsubishi Canter,
YC32,CSV,,Mercedes Sprinter,
YE31,MCEV,,Mercedes Sprinter,
YE32,MCEV,,Mercedes Sprinter,
YE33,MCEV,,Mercedes Sprinter,
,,,,
Y2,HART Isleworth,"Unit 14-15 Clock Tower Rd, Isleworth TW7 6DT, United Kingdom",,"51.46864460137128, -0.33161255046217697"
Y102,DCA,,Ford Transit,
Y201,DCA,,Ford Transit,
Y231,SRV,,Mercedes Sprinter,
Y232,SRV,,Mercedes Sprinter,
Y233,SRV,,Mercedes Sprinter,
Y235,ATV Carrier,,Iveco Daily,
Y237,DCA,,MAN TGE,
Y251,PRV,,Volkswagen Transporter,
Y252,PRV,,Volkswagen Transporter,
Y253,PRV,,Volkswagen Transporter,
Y254,FRU,,Volkswagen Tiguan,
Y255,FRU,,Volkswagen Tiguan,
Y271,HPC,,Mercedes Sprinter,
Y272,HPC,,Mercedes Sprinter,
Y273,IWU,,Mercedes Sprinter,
Y296,CTM,,Volvo XC90,
Y297,HOO,,Land Rover Discovery,
Y632,CBRN,,Mitsubishi Canter,
Y634,CBRN,,Mitsubishi Canter,
Y952,TRU,,Ford Transit Custom,
Y953,TRU,,Ford Transit Custom,
YC31,CSV,,Mercedes Sprinter,
YE34,MCEV,,Mercedes Sprinter,
YE35,MCEV,,Mercedes Sprinter,
YE36,MCEV,,Mercedes Sprinter,
,,,,
Y3,HART BOW,"Saint Andrews House, St Andrews Way, London E3 3PA, United Kingdom",Event Control Room,
Y371,HPC,,Mercedes Sprinter,
Y372,HPC,,Mercedes Sprinter,
Y373,HPC,,Mercedes Sprinter,
Y395,HOO,,Land Rover Freelander,
Y396,CTM,,Volvo XC90,
Y397,HOO,,Land Rover Freelander,
Y398,HOO,,Land Rover Freelander,
Y399,HOO,,Land Rover Freelander,
YC33,CSV,,Mercedes Sprinter,
YC34,CSV,,Mercedes Sprinter,
,,,,
,,,,
